1879 Amedee-Bollee Marie-Anne | Speed | 18 kmph
1987 Toyota Supra Turbo | Power | 230 hp @ 5600 rpm
1987 Toyota Supra Turbo | Torque | 246 lb-ft @ 4000 rpm
1987 Toyota Supra Turbo | Torque | 246 lb-ft @ 4000 rpm
1987 Toyota Supra Turbo | Torque | 246 lb-ft @ 4000 rpm
1987 Toyota Supra Turbo | Valves per cylinder | 4
1987 Toyota Supra Turbo | Valves per cylinder | 4
1987 Toyota Supra Turbo | Valves per cylinder | 4
1987 Toyota Supra Turbo | Max rpm | 6500
1987 Toyota Supra Turbo | Max rpm | 6500
1987 Toyota Supra Turbo | Max rpm | 6500
1987 Toyota Supra Turbo | Speed | 145 mph
1987 Toyota Supra Turbo | Speed | 145 mph
1987 Toyota Supra Turbo | Speed | 145 mph
1987 Toyota Supra Turbo | 0-60 mph | 6.4 s
1987 Toyota Supra Turbo | 0-60 mph | 6.4 s
1987 Toyota Supra Turbo | 0-60 mph | 6.4 s
1987 Toyota Supra Turbo | Fuel consumption | 18.0 mpg
1987 Toyota Supra Turbo | Fuel consumption | 18 mpg
1987 Toyota Supra Turbo | Fuel consumption | 23 mpg
1987 Toyota Supra Turbo | Fuel consumption | 18.0 mpg
1987 Toyota Supra Turbo | Fuel consumption | 18 mpg
1987 Toyota Supra Turbo | Fuel consumption | 23 mpg
1987 Toyota Supra Turbo | Fuel consumption | 18.0 mpg
1987 Toyota Supra Turbo | Fuel consumption | 18 mpg
1987 Toyota Supra Turbo | Fuel consumption | 23 mpg
1987 Toyota Supra Turbo | Weight | 3581 lbs
1987 Toyota Supra Turbo | Weight | 3581 lbs
1987 Toyota Supra Turbo | Weight | 3581 lbs
1987 Toyota Supra Turbo | Length | 181.9 in
1987 Toyota Supra Turbo | Length | 181.9 in
1987 Toyota Supra Turbo | Length | 181.9 in
1987 Toyota Supra Turbo | Width | 68.7 in
1987 Toyota Supra Turbo | Width | 68.7 in
1987 Toyota Supra Turbo | Width | 68.7 in
1987 Toyota Supra Turbo | Height | 51.6 in
1987 Toyota Supra Turbo | Height | 51.6 in
1987 Toyota Supra Turbo | Height | 51.6 in
1987 Toyota Supra Turbo | Seats | 2+2
1987 Toyota Supra Turbo | Seats | 2+2
1987 Toyota Supra Turbo | Seats | 2+2
1987 Toyota Supra Turbo | Fuel tank | 18.5 gal
1987 Toyota Supra Turbo | Fuel tank | 18.5 gal
1987 Toyota Supra Turbo | Fuel tank | 18.5 gal
1987 Toyota Supra Turbo | Clearance | 5.5 in
1987 Toyota Supra Turbo | Clearance | 5.5 in
1987 Toyota Supra Turbo | Clearance | 5.5 in
1987 Toyota Supra Turbo | Engine placement | front
1987 Toyota Supra Turbo | Engine placement | front
1987 Toyota Supra Turbo | Engine placement | front
1987 Toyota Supra Turbo | Brakes | ventilated disc
1987 Toyota Supra Turbo | Brakes | ventilated disc
1987 Toyota Supra Turbo | Brakes | ventilated disc
1987 Toyota Supra Turbo | Gears | 5 manual
1987 Toyota Supra Turbo | Gears | 5 manual
1987 Toyota Supra Turbo | Gears | 5 manual
1987 Toyota Supra Turbo | Drive | rear
1987 Toyota Supra Turbo | Drive | rear
1987 Toyota Supra Turbo | Drive | rear
1987 Volkswagen Jetta | Volume | 1.8 L
1987 Volkswagen Jetta | Valves per cylinder | 4
1987-01 Audi Coupe Quattro NG | Volume | 2.3 L
1987-01 Audi Coupe Quattro NG | Power | 98 kW
1987-01 Audi Coupe Quattro NG | Fuel | petrol
1987-01 Audi Coupe Quattro NG | Gears | 5 manual
1987-02 Audi Coupe GT NG | Volume | 2.3 L
1987-02 Audi Coupe GT NG | Power | 100 kW
1987-02 Audi Coupe GT NG | Fuel | petrol
1987-02 Audi Coupe GT NG | Gears | 5 manual
1987-02 Audi Coupe GT NG | Gears | 3 auto
1987-08 Opel Corsa (A) | Volume | 1.5 L
1987-08 Opel Corsa (A) | Power | 50 hp
1987-08 Opel Corsa (A) | Fuel | diesel
1987-09 Audi 90 (B3) | Volume | 2 L
1987-09 Audi 90 (B3) | Volume | 2.3 L
1987-09 Audi 90 (B3) | Volume | 2.3 L
1987-09 Audi 90 (B3) | Cylinders | 5
1987-09 Audi 90 (B3) | Cylinders | 5
1987-09 Audi 90 (B3) | Cylinders | 5
1987-09 Audi 90 (B3) | Power | 115 hp
1987-09 Audi 90 (B3) | Power | 136 hp
1987-09 Audi 90 (B3) | Power | 160 hp
1987-09 Audi 90 (B3) | Fuel | petrol
1987-09 Audi 90 (B3) | Fuel | petrol
1987-09 Audi 90 (B3) | Valves per cylinder | 4
1987-09 Audi 90 (B3) | Brakes | ventilated disc
1987-09 Opel Senator 2.5i (B) | Volume | 2.5 L
1987-09 Opel Senator 2.5i (B) | Fuel feed | injection
1987-09 Opel Senator 3.0i (B) | Volume | 3 L
1987-09 Opel Senator 3.0i (B) | Power | 156 hp
1987-09 Opel Senator 3.0i (B) | Fuel feed | injection
1988 Aston Martin Vantage | Volume | 5340 cc
1988 Aston Martin Vantage | Cylinders | V8
1988 Aston Martin Vantage | Power | 557 hp @ 6500 rpm
1988 Aston Martin Vantage | Torque | 745 nm @ 4000 rpm
1988 Aston Martin Vantage | Valves per cylinder | 4
1988 Aston Martin Vantage | Speed | 300 kmph
1988 Aston Martin Vantage | Speed | 310 kmph
1988 Aston Martin Vantage | 0-100 kmph | 4.6 s
1988 Aston Martin Vantage | 0-100 kmph | 4.9 s
1988 Aston Martin Vantage | 0-161 kmph | 12.5 s
1988 Aston Martin Vantage | Weight | 1900 kg
1988 Aston Martin Vantage | Weight | 2050 kg
1988 Aston Martin Vantage | Body | coupe
1988 Aston Martin Vantage | Length | 4740 mm
1988 Aston Martin Vantage | Length | 4750 mm
1988 Aston Martin Vantage | Width | 1930 mm
1988 Aston Martin Vantage | Width | 1940 mm
1988 Aston Martin Vantage | Height | 1320 mm
1988 Aston Martin Vantage | Height | 1330 mm
1988 Aston Martin Vantage | Seats | 4
1988 Aston Martin Vantage | Doors | 2
1988 Aston Martin Vantage | Fuel tank | 105 L
1988 Aston Martin Vantage | Front track | 1511 mm
1988 Aston Martin Vantage | Front track | 1540 mm
1988 Aston Martin Vantage | Rear track | 1524 mm
1988 Aston Martin Vantage | Rear track | 1580 mm
1988 Aston Martin Vantage | Wheelbase | 2610 mm
1988 Aston Martin Vantage | Clearance | 125 mm
1988 Aston Martin Vantage | Engine placement | front
1988 Aston Martin Vantage | Brakes | ventilated disc
1988 Aston Martin Vantage | Rear brakes | ventilated disc
1988 Aston Martin Vantage | Front brakes | ventilated disc
1988 Aston Martin Vantage | Gears | 5 manual
1988 Aston Martin Vantage | Gears | 6 manual
1988 Aston Martin Vantage | Drive | rear
1988 Aston Martin Virage | Volume | 5341 cc
1988 Aston Martin Virage | Cylinders | V8
1988 Aston Martin Virage | Power | 355 hp @ 5300 rpm
1988 Aston Martin Virage | Torque | 494 nm @ 5300 rpm
1988 Aston Martin Virage | Speed | 255 kmph
1988 Aston Martin Virage | 0-100 kmph | 6.2 s
1988 Aston Martin Virage | Weight | 1850 kg
1988 Aston Martin Virage | Length | 4740 mm
1988 Aston Martin Virage | Width | 1860 mm
1988 Aston Martin Virage | Height | 1320 mm
1988 Aston Martin Virage | Front track | 1500 mm
1988 Aston Martin Virage | Rear track | 1500 mm
1988 Aston Martin Virage | Wheelbase | 2610 mm
1988 Aston Martin Virage | Engine placement | front
1988 Aston Martin Virage | Brakes | ventilated disc
1988 Aston Martin Virage | Gears | 5 manual
1988 Aston Martin Virage | Drive | rear
1988 Aston-Martin Virage | Cylinders | V8
1988 Aston-Martin Virage | Valves per cylinder | 4
1988 Audi 100 (C3) | Volume | 1.8 L
1988 Audi 100 (C3) | Body | sedan
1988 Audi 100 (C3) | Body | wagon
1988 Audi 100 (C3) | Length | 4793 mm
1988 Audi 100 (C3) | Width | 1814 mm
1988 Audi 100 (C3) | Height | 1422 mm
1988 Audi 100 (C3) | Doors | 4
1988 Audi 100 (C3) | Gears | 4 auto
1988 Audi 100 Quattro | Length | 4793 mm
1988 Audi 100 Quattro | Width | 1814 mm
1988 Audi 100 Quattro | Height | 1422 mm
1988 Audi 100 Quattro | Drive | full
1988 Audi Coupe | Cylinders | 4
1988 Audi Coupe | Compressor | turbo
1988 Audi Coupe | Power | 115 hp
1988 Audi Coupe Quattro | Cylinders | 5
1988 Audi Coupe Quattro | Compressor | turbo
1988 Audi Coupe Quattro | Power | 230 hp
1988 Audi Quattro | Volume | 2226 cc
1988 Audi Quattro | Compressor | turbo
1988 Audi Quattro | Power | 200 hp
1988 Audi Quattro | Drive | full
1988 Audi V8 (D11) | Gears | 4 auto
1988 Audi V8 (D11) | Gears | 5 manual
1988 Audi V8 (D11) | Gears | 6 manual
1988 Audi V8 3.6 (D11) | Volume | 3.6 L
1988 Audi V8 3.6 (D11) | Cylinders | V8
1988 Audi V8 3.6 (D11) | Power | 245 hp
1988 Audi V8 3.6 (D11) | Power | 250 hp
1988 Audi V8 3.6 (D11) | Torque | 340 nm @ 4000 rpm
1988 Audi V8 3.6 (D11) | Valves per cylinder | 4
1988 Audi V8 3.6 (D11) | Body | sedan
1988 Audi V8 3.6 (D11) | Length | 4874 mm
1988 Audi V8 3.6 (D11) | Width | 1814 mm
1988 Audi V8 3.6 (D11) | Height | 1420 mm
1988 Audi V8 3.6 (D11) | Doors | 4
1988 Audi V8 3.6 (D11) | Drive | full constant
1988 Audi V8 4.2 | Volume | 4.2 L
1988 Audi V8 4.2 | Cylinders | V8
1988 Audi V8 4.2 | Power | 280 hp
1988 Audi V8 4.2 | Valves per cylinder | 4
1988 Audi V8 4.2 | Drive | full
1988 Jaguar XJ 220 | Price | 361000 GBP @ 1989
1988 Jaguar XJ 220 | Price | 403000 GBP @ 1991
1988 Jaguar XJ 220 | Price | 339000 USD
1988 Jaguar XJ 220 | Count | 1991 275
1988 Jaguar XJ 220 | Volume | 3497 cc
1988 Jaguar XJ 220 | Volume | 3498 cc
1988 Jaguar XJ 220 | Cylinders | V6
1988 Jaguar XJ 220 | Compressor | 2 turbo
1988 Jaguar XJ 220 | Power | 542 hp @ 7200 rpm
1988 Jaguar XJ 220 | Torque | 642 nm @ 4500 rpm
1988 Jaguar XJ 220 | Fuel | petrol
1988 Jaguar XJ 220 | Compression ratio | 8.3
1988 Jaguar XJ 220 | Valves per cylinder | 4
1988 Jaguar XJ 220 | Max rpm | 7200
1988 Jaguar XJ 220 | Speed | 343 kmph
1988 Jaguar XJ 220 | Speed | 345 kmph
1988 Jaguar XJ 220 | Speed | 349 kmph
1988 Jaguar XJ 220 | 0-100 kmph | 3.8 s
1988 Jaguar XJ 220 | 0-100 kmph | 4.1 s
1988 Jaguar XJ 220 | 0-161 kmph | 9.5 s
1988 Jaguar XJ 220 | 0-60 mph | 3.4 s
1988 Jaguar XJ 220 | 0-100 mph | 7.9 s
1988 Jaguar XJ 220 | Weight | 1470 kg
1988 Jaguar XJ 220 | Weight | 1473 kg
1988 Jaguar XJ 220 | Body | coupe
1988 Jaguar XJ 220 | Length | 4930 mm
1988 Jaguar XJ 220 | Width | 1150 mm
1988 Jaguar XJ 220 | Width | 2220 mm
1988 Jaguar XJ 220 | Width | 2222 mm
1988 Jaguar XJ 220 | Height | 1150 mm
1988 Jaguar XJ 220 | Height | 2010 mm
1988 Jaguar XJ 220 | Seats | 2
1988 Jaguar XJ 220 | Doors | 2
1988 Jaguar XJ 220 | Fuel tank | 100 L
1988 Jaguar XJ 220 | Front track | 1709 mm
1988 Jaguar XJ 220 | Front track | 1710 mm
1988 Jaguar XJ 220 | Rear track | 1587 mm
1988 Jaguar XJ 220 | Rear track | 1590 mm
1988 Jaguar XJ 220 | Wheelbase | 2640 mm
1988 Jaguar XJ 220 | Wheelbase | 2642 mm
1988 Jaguar XJ 220 | Clearance | 85 mm
1988 Jaguar XJ 220 | Engine placement | center
1988 Jaguar XJ 220 | Brakes | ventilated disc
1988 Jaguar XJ 220 | Rear brakes | ventilated disc
1988 Jaguar XJ 220 | Front brakes | ventilated disc
1988 Jaguar XJ 220 | Front brakes size | 13 in
1988 Jaguar XJ 220 | Rear brakes size | 11.8 in
1988 Jaguar XJ 220 | Tyres | 225/45 ZR 17(v)
1988 Jaguar XJ 220 | Front tyres | 255/45 ZR17
1988 Jaguar XJ 220 | Rear tyres | 345/35 ZR18
1988 Jaguar XJ 220 | Gears | 5 manual
1988 Jaguar XJ 220 | Drive | rear
1988 Opel Omega GL2.0i | Volume | 1998 cc
1988 Opel Omega GL2.0i | Cylinders | R4
1988 Opel Omega GL2.0i | Power | 115 hp
1988 Opel Omega GL2.0i | Speed | 195 kmph
1988 Opel Omega GL2.0i | 0-100 kmph | 12.6 s
1988 Opel Omega GL2.0i | Fuel consumption | 9.9 L/100km
1988 Opel Omega GL2.3D | Volume | 2260 cc
1988 Opel Omega GL2.3D | Cylinders | R4
1988 Opel Omega GL2.3D | Power | 73 hp
1988 Opel Omega GL2.3D | Speed | 160 kmph
1988 Opel Omega GL2.3D | 0-100 kmph | 21.0 s
1988 Opel Omega GL2.3D | Fuel consumption | 8.3 L/100km
1988 Opel Omega GL2.3TD | Volume | 2260 cc
1988 Opel Omega GL2.3TD | Cylinders | R4
1988 Opel Omega GL2.3TD | Power | 100 hp
1988 Opel Omega GL2.3TD | Speed | 179 kmph
1988 Opel Omega GL2.3TD | 0-100 kmph | 15.3 s
1988 Opel Omega GL2.3TD | Fuel consumption | 8.9 L/100km
1988 Opel Omega GL2.4i | Volume | 2410 cc
1988 Opel Omega GL2.4i | Cylinders | R4
1988 Opel Omega GL2.4i | Power | 125 hp
1988 Opel Omega GL2.4i | Speed | 198 kmph
1988 Opel Omega GL2.4i | 0-100 kmph | 11.9 s
1988 Opel Omega GL2.4i | Fuel consumption | 10.9 L/100km
1988 Opel Omega GL2.6i | Volume | 2594 cc
1988 Opel Omega GL2.6i | Cylinders | R6
1988 Opel Omega GL2.6i | Power | 150 hp
1988 Opel Omega GL2.6i | Speed | 215 kmph
1988 Opel Omega GL2.6i | 0-100 kmph | 10.3 s
1988 Opel Omega GL2.6i | Fuel consumption | 11.6 L/100km
1988 Porsche 911 964 Carrera 4 | Volume | 3600 cc
1988 Porsche 911 964 Carrera 4 | Cylinders | 6
1988 Porsche 911 964 Carrera 4 | Power | 250 hp
1988 Porsche 911 Carrera 4 | Drive | full
1988 Porsche 911 Carrera 4 (964) | Volume | 3600 cc
1988 Porsche 911 Carrera 4 (964) | Cylinders | 6
1988 Porsche 911 Carrera 4 (964) | Power | 250 hp
1988 Porsche 911 Carrera 4 (964) | Drive | full
1988 Porsche 911 Carrera Clubsport | Body | coupe
1988 Porsche 911 Club Sport (european) | Weight | 1172 kg
1988 Porsche 911 Club Sport (US) | Weight | 1210 kg
1988 Porsche 911 Clubsport | Count | 300
1988 Porsche 911 Silver Anniverary | Count | 300
1988 Porsche 924 S | Volume | 2479 cc
1988 Porsche 924 S | Power | 160 hp @ 5900 rpm
1988 Porsche 924 S | Compression ratio | 10.2
1988 Porsche 924 S | Bore | 100 mm
1988 Porsche 924 S | Stroke | 78.9 mm
1988 Porsche 924 S | Weight | 1193 kg
1988 Porsche 930 Commemorative Special Edition | Count | 875
1988 Porsche 930 Commemorative Special Edition | Body | coupe
1988 Porsche 930 Commemorative Special Edition | Body | cabriolet
1988 Porsche 930 Commemorative Special Edition | Body | targa
1988 Porsche 944 | Volume | 2479 cc
1988 Porsche 944 | Volume | 2681 cc
1988 Porsche 944 | Volume | 2681 cc
1988 Porsche 944 | Volume | 2990 cc
1988 Porsche 944 | Volume | 2990 cc
1988 Porsche 944 | Power | 158 hp @ 5900 rpm
1988 Porsche 944 | Power | 165 hp
1988 Porsche 944 | Power | 165 hp
1988 Porsche 944 | Power | 211 hp
1988 Porsche 944 | Power | 211 hp
1988 Porsche 944 | Compression ratio | 10.2
1988 Porsche 944 | Bore | 100 mm
1988 Porsche 944 | Stroke | 78.9 mm
1988 Porsche 944 | Valves per cylinder | 4
1988 Porsche 944 | Valves per cylinder | 4
1988 Porsche 944 | Weight | 1197 kg
1988 Porsche 944 S | Valves per cylinder | 4
1988 Porsche 944 S2 | Volume | 2681 cc
1988 Porsche 944 S2 | Volume | 2990 cc
1988 Porsche 944 S2 | Volume | 3 L
1988 Porsche 944 S2 | Cylinders | R4
1988 Porsche 944 S2 | Power | 165 hp
1988 Porsche 944 S2 | Power | 185 hp
1988 Porsche 944 S2 | Power | 211 hp
1988 Porsche 944 S2 | Torque | 225 nm
1988 Porsche 944 S2 | Torque | 281 nm
1988 Porsche 944 S2 | Valves per cylinder | 2
1988 Porsche 944 S2 | Valves per cylinder | 4
1988 Porsche 944 S2 | Speed | 219 kmph
1988 Porsche 944 S2 | Speed | 235 kmph
1988 Porsche 944 S2 | 0-96 kmph | 6.0 s
1988 Porsche 944 S2 | 0-96 kmph | 7.0 s
1988 Porsche 944 S2 | Weight | 1320 kg
1988 Porsche 944 S2 | Weight | 1350 kg
1988 Porsche 944 S2 | Body | coupe
1988 Porsche 944 S2 | Engine placement | front
1988 Porsche 944 S2 | Gears | 5 manual
1988 Porsche 944 S2 | Drive | rear
1988 Porsche 944 S2 Cabriolet | Body | cabriolet
1988 Porsche 944 Turbo | Volume | 2479 cc
1988 Porsche 944 Turbo | Power | 217 hp @ 5800 rpm
1988 Porsche 944 Turbo | Power | 250 hp
1988 Porsche 944 Turbo | Compression ratio | 8.0
1988 Porsche 944 Turbo | Bore | 100 mm
1988 Porsche 944 Turbo | Stroke | 78.9 mm
1988 Porsche 944 Turbo | Weight | 1252 kg
1988 Porsche 944 Turbo | Gears | 5 manual
1988 Porsche 944 Turbo S | Volume | 2479 cc
1988 Porsche 944 Turbo S | Power | 250 hp @ 5800 rpm
1988 Porsche 944 Turbo S | Compression ratio | 8.0
1988 Porsche 944 Turbo S | Bore | 100 mm
1988 Porsche 944 Turbo S | Stroke | 78.9 mm
1988 Porsche 944 Turbo S | Weight | 1252 kg
1988 Porsche 944 Turbo SE | Volume | 2479 cc
1988 Porsche 944 Turbo SE | Cylinders | R4
1988 Porsche 944 Turbo SE | Power | 250 hp
1988 Porsche 944 Turbo SE | Torque | 350 nm
1988 Porsche 944 Turbo SE | Valves per cylinder | 2
1988 Porsche 944 Turbo SE | Speed | 245 kmph
1988 Porsche 944 Turbo SE | 0-96 kmph | 5.7 s
1988 Porsche 944 Turbo SE | Weight | 1400 kg
1988 Porsche 944 Turbo SE | Engine placement | front
1988 Porsche 944 Turbo SE | Gears | 5 manual
1988 Porsche 944 Turbo SE | Drive | rear
1988 Porsche 944S | Volume | 2479 cc
1988 Porsche 944S | Power | 188 hp @ 6000 rpm
1988 Porsche 944S | Compression ratio | 10.9
1988 Porsche 944S | Bore | 100 mm
1988 Porsche 944S | Stroke | 78.9 mm
1988 Porsche 944S | Weight | 1197 kg
1988 Porsche Carrera 4 (964) | Body | coupe
1988 ЗАЗ-1102 Таврия | Body | hatchback 3
1988 ЗАЗ-1102 Таврия | Engine placement | front transverse
1988 ЗАЗ-1102 Таврия | Front brakes | disc
1988 ЗАЗ-1102 Таврия | Gears | 5 manual
1988-01 Opel Senator (B) | Volume | 3 L
1988-01 Opel Senator (B) | Power | 177 hp
1988-05 Audi 100 | Volume | 2.2 L
1988-05 Audi 100 | Compressor | turbo
1988-05 Audi 100 | Power | 125 kW
1988-05 Audi 100 | Fuel | petrol
1988-05 Opel Corsa GSi (A) | Power | 100 hp
1988-07 Audi 80 | Volume | 1.6 L
1988-07 Audi 80 | Volume | 1964 cc
1988-07 Audi 80 | Cylinders | 4
1988-07 Audi 80 | Compressor | turbo
1988-07 Audi 80 | Power | 80 hp
1988-07 Audi 80 | Power | 113 hp
1988-07 Audi 80 | Fuel | diesel
1988-09 Opel Vectra (A) | Body | hatchback 5
1988-09 Opel Vectra (A) | Body | sedan 4
1988-09 Opel Vectra (A) | Engine placement | front transverse
1988-09 Opel Vectra (A) | Drive | front
1988-09 Opel Vectra (A) | Drive | full constant
1988-09 Opel Vectra 1.4 (A) | Volume | 1.4 L
1988-09 Opel Vectra 1.4 (A) | Cylinders | R4
1988-09 Opel Vectra 1.4 (A) | Fuel | petrol
1988-09 Opel Vectra 1.6 (A) | Volume | 1.6 L
1988-09 Opel Vectra 1.6 (A) | Cylinders | R4
1988-09 Opel Vectra 1.6 (A) | Fuel | petrol
1988-09 Opel Vectra 1.8 (A) | Volume | 1.8 L
1988-09 Opel Vectra 1.8 (A) | Cylinders | R4
1988-09 Opel Vectra 1.8 (A) | Fuel | petrol
1988-09 Opel Vectra 2.0 (A) | Volume | 2 L
1988-09 Opel Vectra 2.0 (A) | Cylinders | R4
1988-09 Opel Vectra 2.0 (A) | Fuel | petrol
1988-09 Opel Vectra 2.5 (A) | Volume | 2.5 L
1988-09 Opel Vectra 2.5 (A) | Cylinders | V6
1988-11 Audi Coupe | Gears | 5 manual
1988-11 Audi Coupe | Gears | 4 auto
1988-11 Audi Coupe 2.2E | Volume | 3 L
1988-11 Audi Coupe 2.2E | Volume | 2.2 L
1988-11 Audi Coupe 2.2E | Power | 100 kW
1988-11 Audi Coupe 2.2E | Fuel | petrol
1988-11 Audi Coupe 2.3E | Volume | 2.3 L
1988-11 Audi Coupe 2.3E | Power | 100 kW
1988-11 Audi Coupe 2.3E | Fuel | petrol
1988-11 Audi Coupe Quattro (B3) | Length | 4845 mm
1988-11 Audi Coupe Quattro (B3) | Width | 1750 mm
1988-11 Audi Coupe Quattro (B3) | Height | 1410 mm
1988-11 Audi quattro | Gears | 5 manual
1988-11 Audi quattro 2.0 | Volume | 2 L
1988-11 Audi quattro 2.0 | Power | 118 kW
1988-11 Audi quattro 2.0 | Fuel | petrol
1988-11 Audi quattro 2.23 | Volume | 3 L
1988-11 Audi quattro 2.23 | Volume | 2.2 L
1988-11 Audi quattro 2.23 | Power | 100 kW
1988-11 Audi quattro 2.23 | Fuel | petrol
1988-11 Audi quattro 2.3 | Volume | 2.3 L
1988-11 Audi quattro 2.3 | Volume | 2.3 L
1988-11 Audi quattro 2.3 | Power | 125 kW
1988-11 Audi quattro 2.3 | Power | 100 kW
1988-11 Audi quattro 2.3 | Fuel | petrol
1988-11 Audi quattro 2.3 | Fuel | petrol
1989 Alfa Romeo 75 Lusso | Volume | 3 L
1989 Alpina B10 Biturbo (E34) | Price | 152500 DM
1989 Alpina B10 Biturbo (E34) | Count | 507
1989 Alpina B10 Biturbo (E34) | Volume | 3430 cc
1989 Alpina B10 Biturbo (E34) | Volume | 3430 cc
1989 Alpina B10 Biturbo (E34) | Cylinders | 6
1989 Alpina B10 Biturbo (E34) | Compressor | 2 turbo
1989 Alpina B10 Biturbo (E34) | Compressor | 2 turbo
1989 Alpina B10 Biturbo (E34) | Power | 360 hp @ 6000 rpm
1989 Alpina B10 Biturbo (E34) | Power | 360 hp @ 6000 rpm
1989 Alpina B10 Biturbo (E34) | Torque | 552 nm
1989 Alpina B10 Biturbo (E34) | Torque | 520 nm @ 4000 rpm
1989 Alpina B10 Biturbo (E34) | Compression ratio | 7.2
1989 Alpina B10 Biturbo (E34) | Speed | 290 kmph
1989 Alpina B10 Biturbo (E34) | Speed | 290 kmph
1989 Alpina B10 Biturbo (E34) | 0-100 kmph | 5.0 s
1989 Alpina B10 Biturbo (E34) | 0-100 kmph | 5.6 s
1989 Alpina B10 Biturbo (E34) | Fuel consumption | 16.9 L/100km
1989 Alpina B10 Biturbo (E34) | Weight | 1695 kg
1989 Alpina B10 Biturbo (E34) | Fuel tank | 119 L
1989 Alpina B10 Biturbo (E34) | Front brakes | disc
1989 Alpina B10 Biturbo (E34) | Front brakes size | 334 mm
1989 Alpina B10 Biturbo (E34) | Front tyres | 235/45 ZR17
1989 Alpina B10 Biturbo (E34) | Rear tyres | 265/40 ZR17
1989 Alpina B10 Biturbo (E34) | Wheels | 17
1989 Alpina B10 Biturbo (E34) | Gears | 5
1989 Audi 80 (8A) | Volume | 1.9 L
1989 Audi 80 (8A) | Power | 68 hp
1989 Audi 80 (8A) | Fuel | diesel
1989 Audi 80 (B3) | Volume | 1.9 L
1989 Audi 80 (B3) | Fuel | diesel
1989 Audi 90 (B3) | Volume | 1.8 L
1989 Audi 90 (B3) | Cylinders | 5
1989 Audi 90 (B3) | Cylinders | 4
1989 Audi 90 (B3) | Cylinders | 5
1989 Audi Coupe (B3) | Body | coupe
1989 Audi Coupe (B3) | Length | 4366 mm
1989 Audi Coupe (B3) | Width | 1716 mm
1989 Audi Coupe (B3) | Height | 1368 mm
1989 Audi Coupe (B3) | Doors | 2
1989 Audi Quattro | Power | 220 hp
1989 Audi Quattro | Fuel feed | injection Bosch MH-Motronic
1989 BMW Z1 | Body | cabriolet
1989 De Tomaso Pantera GT5 | Brakes | ventilated disc
1989 De Tomaso Pantera GT5 | Wheels | 17
1989 De Tomaso Pantera GT5 | Gears | 5
1989 De Tomaso Pantera GT5 | Gears | 6
1989 Ferrari 348 Spyder | Volume | 3405 cc
1989 Ferrari 348 Spyder | Cylinders | V8
1989 Ferrari 348 Spyder | Power | 300 hp
1989 Ferrari 348 Spyder | Power | 300 hp @ 7200 rpm
1989 Ferrari 348 Spyder | Torque | 460 nm @ 4600 rpm
1989 Ferrari 348 Spyder | Speed | 275 kmph
1989 Ferrari 348 Spyder | 0-100 kmph | 5.4 s
1989 Ferrari 348 Spyder | 0-161 kmph | 12.5 s
1989 Ferrari 348 Spyder | Weight | 1393 kg
1989 Ferrari 348 Spyder | Body | coupe
1989 Ferrari 348 Spyder | Body | roadster
1989 Ferrari 348 Spyder | Body | spyder
1989 Ferrari 348 Spyder | Length | 4230 mm
1989 Ferrari 348 Spyder | Width | 1894 mm
1989 Ferrari 348 Spyder | Height | 1170 mm
1989 Ferrari 348 Spyder | Seats | 2
1989 Ferrari 348 Spyder | Doors | 2
1989 Ferrari 348 Spyder | Fuel tank | 95 L
1989 Ferrari 348 Spyder | Front track | 1502 mm
1989 Ferrari 348 Spyder | Rear track | 1578 mm
1989 Ferrari 348 Spyder | Wheelbase | 2450 mm
1989 Ferrari 348 Spyder | Clearance | 100 mm
1989 Ferrari 348 Spyder | Brakes | ventilated disc
1989 Ferrari 348 Spyder | Front tyres | 215/50 ZR17
1989 Ferrari 348 Spyder | Rear tyres | 225/50 ZRR17
1989 Ferrari 348 Spyder | Front wheels | 7.5x17
1989 Ferrari 348 Spyder | Rear wheels | 9x17
1989 Ferrari 348 Spyder | Gears | 5 manual
1989 Ferrari 348 Spyder | Drive | rear
1989 Mercedes-Benz 500 SL | Cylinders | V8
1989 Mercedes-Benz 500 SL | Power | 322 hp
1989 Mercedes-Benz 500 SL | Torque | 450 nm
1989 Mercedes-Benz 500 SL | Speed | 250 kmph
1989 Mercedes-Benz 500 SL | 0-100 kmph | 6.2 s
1989 Opel Lotus Omega | Price | 48000 GBP @ UK
1989 Opel Lotus Omega | Count | 950
1989 Opel Lotus Omega | Volume | 3.6 L
1989 Opel Lotus Omega | Compressor | 2 turbo
1989 Opel Lotus Omega | Compressor pressure | 0.7 bar
1989 Opel Lotus Omega | Power | 377 hp
1989 Opel Lotus Omega | Fuel feed | injection
1989 Opel Lotus Omega | Compression ratio | 8.6
1989 Opel Lotus Omega | Valves per cylinder | 4
1989 Opel Lotus Omega | Speed | 300 kmph
1989 Opel Lotus Omega | Brakes | ventilated disc
1989 Opel Lotus Omega | Front brakes size | 330 mm
1989 Opel Lotus Omega | Rear brakes size | 300 mm
1989 Opel Lotus Omega | Front tyres | 235/45 ZR17
1989 Opel Lotus Omega | Rear tyres | 265/40 ZR17
1989 Opel Lotus Omega | Front wheels | 8.5Jx17
1989 Opel Lotus Omega | Rear wheels | 9.5Jx17
1989 Opel Lotus Omega | Gears | 6
1989 Porsche 911 (964) | Volume | 3.6 L
